小区名称,行政区,朝向,房屋配置,面积（㎡）,总价（万）,均价(平),楼层,建筑年份,周边,小区地址
汤臣商务中心,浦东区,南,3室2厅2卫,193.23,580,30017,高层(共22层),2015年建造,陆家嘴,"张杨路158,188,228号"
金杨新村二街坊,浦东区,南北,3室1厅1卫,74.55,338,45339,中层(共6层),2000年建造,金杨新村,"金口路44弄,云山路1043弄,云山路1045弄,金杨路273弄1-24号"
明天华城,浦东区,南北,3室2厅2卫,126.02,700,55547,低层(共18层),2014年建造,周浦,"康沈路2262弄,周星路500弄"
银山小区,浦东区,南北,2室2厅1卫,74.14,320,43162,高层(共6层),1997年建造,金杨新村,银山路200弄
绿地东上海海富城市花园(二期),浦东区,南,3室2厅2卫,138.46,880,63557,中层(共14层),2014年建造,康桥,秀浦路800弄
鹤沙航城汇贤雅苑,浦东区,南,2室1厅1卫,70.69,225,31830,高层(共18层),2013年建造,航头,鹤永路751弄1-20号
济阳三村,浦东区,南,2室1厅1卫,52.01,237,45569,高层(共6层),1992年建造,世博,"济阳路65弄,耀华路550弄,德州路465弄,西营路114弄"
繁荣华庭,浦东区,南北,2室2厅1卫,84.84,415,48916,低层(共18层),2016年建造,周浦,繁荣路266弄
浦发罗兰翡丽,浦东区,南北,3室2厅1卫,97.76,720,73650,中层(共18层),2017年建造,唐镇,玉盘北路281弄
汤臣商务中心,浦东区,南北,3室2厅3卫,169.19,648,38301,高层(共28层),2016年建造,陆家嘴,"张杨路158,188,228号"
香山新村东北街坊,浦东区,南北,2室1厅1卫,63.58,369,58038,中层(共6层),1996年建造,金杨新村,"德平路1125弄,德平路1065弄,灵山路1799弄,居家桥路1030弄,居家桥路1070弄"
高行绿洲六期,浦东区,南,2室1厅1卫,74.21,315,42448,高层(共14层),2011年建造,外高桥,兰嵩路360弄
馨乐园,浦东区,南,4室3厅2卫,135.01,680,50367,共5层,1998年建造,三林,"三林路359弄,三林路429弄"
星晓家园,浦东区,南北,3室2厅1卫,108.84,400,36752,中层(共18层),2011年建造,曹路,金晓路96弄
沔溪苑,浦东区,南,2室2厅1卫,85.74,390,45487,中层(共6层),2004年建造,康桥,川周公路2828弄17-85号(单号)
绿洲康城亲水湾(中区),浦东区,南北,3室2厅2卫,129.69,780,60144,高层(共22层),2012年建造,御桥,康桥路1558弄
康桥宝邸,浦东区,南北,2室2厅1卫,74.68,325,43520,高层(共6层),2008年建造,康桥,康弘路508弄
梅园三街坊,浦东区,南,2室1厅1卫,47.02,437,92940,低层(共6层),1990年建造,八佰伴,"商城路1025弄,商城路991弄,乳山路130弄,乳山路138弄,乳山路160弄"
颐景园,浦东区,南北,3室2厅1卫,90.32,315,34876,低层(共18层),2018年建造,惠南,"听锦路36弄,听锦路35弄,拱泰路29弄"
华高一村,浦东区,南,3室1厅1卫,77.48,290,37430,高层(共6层),1995年建造,高行,巨峰路995弄
昌七小区,浦东区,南,3室1厅1卫,73.08,438,59935,低层(共6层),1996年建造,世博,"成山路1035弄,成山路963弄,南码头路1675弄,南码头路1621弄"
玉兰香苑(二期B区),浦东区,南北,2室2厅3卫,74.71,380,50864,高层(共6层),2009年建造,张江,益江路516弄
